hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,pc3_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro4,2016,11,374,123,189,1.1235464609713266,0.2389313882030091,0.9800171773334714,0.6976173529581561,0.4188808731882292,0.9385501701238412,-0.12312411809098868,0.33097472488588214,0.109825080201735,1.2141229536700175,-1.263444358141358,91,325,32,49,73,374,50,0,63,301,60,73
Hydro4,2016,12,411,90,189,1.6856113536127486,1.1826155076375735,0.7983620235114356,0.6987578751504534,0.502838587476892,1.1340056279119,-0.10340564585088569,0.3454311235904026,-0.5083294170905142,0.5828883372001856,-1.438921292477011,87,333,3,78,44,281,46,130,67,336,23,75
Hydro4,2017,1,459,81,189,2.308061721802069,2.4883948514266563,0.259707905387343,-0.3413489265372932,-0.47707680246577566,0.6473753365319826,-0.2070631376904579,0.3491536997554108,-0.5907032514439199,0.7766945103006003,-0.4250047946670621,80,426,1,33,66,459,15,0,59,365,22,94
Hydro4,2017,2,424,51,189,1.8424762044633824,1.752155840961237,1.1331605074674729,0.9820721910027168,-0.5777527837011012,0.7123624094902704,-0.01179545815643257,0.5783614795667857,-0.4005736987416291,0.6031063572875679,-1.4453025171472491,95,409,-44,15,59,424,-8,0,74,379,-23,45
Hydro4,2017,3,495,181,189,1.8769893208406652,2.501593214394708,1.3511046995851808,-0.7200532706229258,-1.3196796256339458,1.5864962129410216,0.33944798231642737,0.9011918630447936,-1.659985041477878,-0.25097008719245784,-0.9846675745545134,134,461,47,34,123,495,58,0,114,473,67,22
Hydro4,2017,4,588,153,189,2.189629273440489,2.914984962700852,0.9037709179356628,-0.0458186004092196,-2.2741343707488175,1.2413114637844012,0.2172566676407728,0.9227463486372192,-3.096147074281597,-0.9870698723163828,0.4463111452953763,110,521,43,67,114,588,39,0,149,566,4,22
Hydro4,2017,5,384,124,189,2.0623937735572633,1.9219897072841237,0.09831131294775668,-1.188266782896451,-2.9228387683255552,1.098141020148482,0.18134976015478932,0.9764901844339589,-2.6975089495569526,-1.0812438891602842,-0.840188988671245,120,405,4,-21,101,384,23,0,116,406,8,-22
Hydro4,2017,6,382,121,189,2.61703941641776,2.4753321360724474,-0.14471082321052464,-1.0673230773490752,-3.544355488771571,-0.3427856551086221,-0.3968597642080424,0.6334916685793164,-2.042905969634767,-0.4275785483222603,-0.47268644265688253,86,374,35,8,113,382,8,0,89,360,32,22
Hydro4,2017,7,486,103,189,2.9483128064666264,2.1906212789526465,-0.24601227813529192,0.4760036764703957,-1.3530845775984293,-0.11732572727945773,-0.2020576622640557,0.6483422149874924,-0.7657142399893104,0.594916943126311,-0.6168742254345482,93,443,10,43,82,486,21,0,109,508,-6,-22
Hydro4,2017,8,464,73,189,1.4475738304883774,0.4169164539154632,0.18534924020245935,0.4018892212769957,0.0737328691673956,0.8385050110984539,0.20092100520519396,0.8090943805470813,0.3209977062949645,1.549572813446748,-0.37526315888129447,72,441,1,23,67,464,6,0,81,409,-8,55
