hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro23,2015,8,17,2,110,0.4186818860886413,3.14733662510279,0.24502950778095145,0.4412623016287216,-2.3898704739856695,-2.5751295284746445,-0.8859528960782288,-0.3837838235725074,-3.8341011444334177,3.1225843118888985,0.14733684390244167,94,72,-92,-55,18,16,-16,1,11,31,-9,-14
Hydro23,2015,9,10,0,110,1.8441050262341463,0.5722159201286487,1.5623460479272309,1.0212415368901822,0.2283760377715015,-3.6099610576903154,-1.7044711959069685,-1.118100639227138,-5.764301630435777,3.747961954976689,0.5333929596063924,15,20,-15,-10,1,10,-1,0,4,24,-4,-14
Hydro23,2015,10,16,0,110,2.119724556760949,1.1867139408639291,0.8416247364142486,1.0785696688747566,0.4924148501480237,-1.3750262750122817,2.43824199156985,-0.4203631246329881,-0.502998558792889,2.9573823440393143,-0.24366983325575764,27,24,-27,-8,13,17,-13,-1,16,87,-16,-71
Hydro23,2015,11,24,8,110,1.463968442090681,1.2906827575842157,0.6738021687727113,1.550744683784644,0.21703832581892452,-0.46921330099308767,1.1503495825401964,-0.14076619014041356,-0.4288671317754809,2.462084754810557,-0.8657816988286113,10,23,-2,1,12,22,-4,2,13,50,-5,-26
Hydro23,2015,12,7,2,110,0.6833968159108389,1.3804033050856734,0.01952189112893261,2.1121798870154653,0.24084259206779243,-1.6282714134614094,1.223057654675639,-0.15548808302204198,-0.17614910299452524,1.5528772680244796,-1.7105291085234098,18,27,-16,-20,11,7,-9,0,7,49,-5,-42
Hydro23,2016,1,7,0,110,3.210025188840113,2.0581087298741445,1.610724054694782,2.144067839609443,0.1354548650994063,-3.63467074364034,2.6759896472294717,-0.8064487243978304,-0.21743747823127413,1.4669835644714402,-1.9455871944403915,29,44,-29,-37,24,6,-24,1,16,21,-16,-14
Hydro23,2016,2,8,0,110,1.3984712835790702,1.6765631472972444,-0.8812014851044837,1.1856601253258192,-0.3742634544243122,-0.07726128613697425,-0.7668065079702883,0.11796125351727382,0.11373781593988232,1.3647719706460226,-2.125757189180319,44,102,-44,-94,13,51,-13,-43,23,70,-23,-62
Hydro23,2016,3,14,0,110,0.8858613479339057,0.2174967877969312,-1.6624639020133285,1.645030953523128,-1.183697872096682,1.5704107384113772,0.422637875663337,-0.32243850240638494,-0.35896367241685834,0.8123545473845082,-2.376609633845011,30,63,-30,-49,34,15,-34,-1,11,44,-11,-30
Hydro23,2016,4,7,0,110,0.5100866518441759,0.6917717313437975,-0.6332302662359779,1.3414270272346749,-1.706707024023269,0.5373667251012308,0.7298481710065488,-0.31191583337998285,-0.2708604272171494,0.4637020187317316,-2.536313058586383,24,37,-24,-30,15,8,-15,-1,11,26,-11,-19
Hydro23,2016,5,8,0,110,-0.5082619079112461,-0.49117862936569623,-0.9441838967462086,0.6635442823128395,-0.673468860488406,1.1247294428194172,-0.3044328870169521,-0.02787908614710299,-0.2360969992160188,0.5437572837142872,-2.440204733591505,23,137,-23,-129,27,97,-27,-89,38,94,-38,-86
Hydro23,2016,6,18,9,110,-2.6848896228402523,-1.11657252976123,-0.2655595456969132,0.1211372382837771,0.16830495336538964,3.1110109531794516,-8.489213387745352e-4,-0.2427605876924362,-0.6170330930789198,1.103794456421974,-1.821593120603502,23,22,-14,-4,28,17,-19,1,21,68,-12,-50
Hydro23,2016,7,20,0,110,-1.4368677913304917,-0.5546519090102798,0.1868257484237227,-0.37680580372618,0.9783755135880722,-1.010844488955715,0.3689558600795545,0.00213962917978199,-0.08202882270782225,2.109538670610165,-0.8084018604764979,75,29,-75,-9,35,21,-35,-1,53,155,-53,-135
Hydro23,2016,8,28,5,110,0.3698466569735891,1.7745744252915427,0.5402851666419407,0.8863679844513026,-0.14368031993350835,-2.9913147269563996,0.5186676177216104,-0.6805401985307533,-1.1379324989789337,3.139967453049345,0.1637158311360301,26,67,-21,-39,14,29,-9,-1,10,146,-5,-118
Hydro23,2016,9,65,24,110,0.12738047098595368,-0.2250639192033984,0.2556708463300715,0.7973185677950564,-0.0623562353775112,-0.3814714162012987,1.6632757835613623,-0.5711268476556637,-0.19756173797447,3.660263252843779,0.5282700474443881,35,72,-11,-7,20,63,4,2,19,18,5,47
Hydro23,2016,10,23,3,110,1.569260088764934,1.3842756565341785,-0.07785079643028778,1.1590912687564208,0.05798883083061609,-1.8963305114724536,0.6766474335890862,-0.23276995141323817,0.25178902862049124,3.108765115624058,-0.18393262003800365,14,50,-11,-27,9,20,-6,3,8,64,-5,-41
Hydro23,2016,11,9,2,110,1.6799516473356026,1.085294560199241,1.0451799003476263,2.342694263222796,0.7374690229887377,-2.4620720049038702,1.283897583997896,-0.7205771723228014,0.6533285572217297,2.596172703011407,-0.8118246552047648,12,19,-10,-10,-0,8,2,1,1,-1,1,10
Hydro23,2016,12,13,4,110,0.24726101832966724,0.8536051410718396,-0.522163497585587,2.7807227707061384,-0.4776095238409827,-0.4421872884060014,2.4360232523956338,-0.9924157834314788,-0.08177515277472862,1.7620149055712688,-1.6204549388426432,23,53,-19,-40,11,13,-7,0,9,12,-5,1
